MN01020:33:000H3JYMV:1:11101:5188:1023	GK000016.2	93.443	61	4	0	1	61	63808896	63808836	2.48e-17	91.6
MN01020:33:000H3JYMV:1:11101:20598:1065	GK000007.2	100.000	81	0	0	1	81	6404391	6404471	6.22e-35	150
MN01020:33:000H3JYMV:1:11101:2053:1068	GK000007.2	90.667	75	7	0	76	150	81996213	81996139	1.44e-19	100
MN01020:33:000H3JYMV:1:11101:13757:1129	GK000027.2	97.333	150	3	1	1	150	36869477	36869625	1.05e-65	254
MN01020:33:000H3JYMV:1:11101:3005:1183	GK000010.2	80.822	73	14	0	17	89	90955461	90955533	4.67e-07	58.4
MN01020:33:000H3JYMV:1:11101:16670:1274	GK000020.2	100.000	96	0	0	1	96	10270406	10270501	3.65e-43	178
MN01020:33:000H3JYMV:1:11101:12332:1312	GK000016.2	95.161	62	3	0	5	66	34309782	34309721	5.21e-19	99.0
MN01020:33:000H3JYMV:1:11101:7678:1330	GK000007.2	91.935	62	4	1	3	64	43536414	43536354	1.25e-15	86.1
MN01020:33:000H3JYMV:1:11101:15771:1368	GK000016.2	86.755	151	20	0	1	151	34309531	34309681	3.91e-40	169
MN01020:33:000H3JYMV:1:11101:22724:1369	GK000022.2	85.714	105	15	0	3	107	12623245	12623349	5.76e-23	111
MN01020:33:000H3JYMV:1:11101:18999:1372	GK000030.2	98.851	87	1	0	1	87	47575463	47575377	3.05e-36	156
MN01020:33:000H3JYMV:1:11101:4776:1435	GK000005.2	100.000	151	0	0	1	151	115116016	115115866	1.73e-73	279
MN01020:33:000H3JYMV:1:11101:15808:1455	GK000020.2	89.831	59	6	0	16	74	31053692	31053750	2.30e-12	76.8
MN01020:33:000H3JYMV:1:11101:10165:1477	GK000015.2	83.898	118	11	8	32	143	30345517	30345632	3.11e-21	106
MN01020:33:000H3JYMV:1:11101:18951:1550	GK000009.2	100.000	77	0	0	1	77	50983729	50983653	9.64e-33	143
MN01020:33:000H3JYMV:1:11101:10102:1566	GK000025.2	94.595	37	2	0	9	45	17730108	17730144	8.84e-07	58.4
MN01020:33:000H3JYMV:1:11101:19753:1569	GK000030.2	100.000	103	0	0	1	103	18980020	18979918	5.16e-47	191
MN01020:33:000H3JYMV:1:11101:9730:1588	GK000016.2	89.344	122	13	0	10	131	34309652	34309531	1.10e-35	154
MN01020:33:000H3JYMV:1:11101:13383:1630	GK000007.2	76.351	148	28	5	2	146	48336941	48336798	3.03e-11	73.1
MN01020:33:000H3JYMV:1:11101:13600:1633	GK000030.2	81.034	116	20	2	10	124	142708861	142708747	7.23e-17	91.6
MN01020:33:000H3JYMV:1:11101:8958:1695	GK000030.2	98.246	57	1	0	1	57	8679676	8679732	3.65e-20	100
MN01020:33:000H3JYMV:1:11101:12540:1717	GK000025.2	100.000	35	0	0	45	79	17730356	17730390	5.24e-09	65.8
MN01020:33:000H3JYMV:1:11101:5419:1718	GK000030.2	100.000	89	0	0	1	89	18979319	18979231	2.55e-39	165
