MN01020:33:000H3JYMV:1:11101:5188:1023	NC_007314.5	93.443	61	4	0	1	61	64023348	64023288	2.53e-17	91.6
MN01020:33:000H3JYMV:1:11101:20598:1065	NC_007305.6	100.000	81	0	0	1	81	6437103	6437183	6.35e-35	150
MN01020:33:000H3JYMV:1:11101:2053:1068	NC_007305.6	90.667	75	7	0	76	150	82353471	82353397	1.47e-19	100
MN01020:33:000H3JYMV:1:11101:13757:1129	NC_007328.5	97.333	150	3	1	1	150	37110458	37110606	1.07e-65	254
MN01020:33:000H3JYMV:1:11101:3005:1183	NC_007308.6	80.822	73	14	0	17	89	91233452	91233524	4.77e-07	58.4
MN01020:33:000H3JYMV:1:11101:16670:1274	NC_007318.6	100.000	96	0	0	1	96	10315959	10316054	3.72e-43	178
MN01020:33:000H3JYMV:1:11101:12332:1312	NC_007314.5	95.161	62	3	0	5	66	34405056	34404995	5.31e-19	99.0
MN01020:33:000H3JYMV:1:11101:7678:1330	NC_007305.6	91.935	62	4	1	3	64	43714928	43714868	1.28e-15	86.1
MN01020:33:000H3JYMV:1:11101:15771:1368	NC_007314.5	86.755	151	20	0	1	151	34404805	34404955	3.99e-40	169
MN01020:33:000H3JYMV:1:11101:22724:1369	NC_007320.6	85.714	105	15	0	3	107	12678786	12678890	5.83e-23	111
MN01020:33:000H3JYMV:1:11101:18999:1372	NC_007331.5	98.851	87	1	0	1	87	48150396	48150310	3.11e-36	156
MN01020:33:000H3JYMV:1:11101:4776:1435	NC_007303.6	100.000	151	0	0	1	151	115450357	115450207	1.77e-73	279
MN01020:33:000H3JYMV:1:11101:15808:1455	NC_007318.6	89.831	59	6	0	16	74	31158267	31158325	2.35e-12	76.8
MN01020:33:000H3JYMV:1:11101:10165:1477	NC_007313.6	83.898	118	11	8	32	143	30523076	30523191	3.18e-21	106
MN01020:33:000H3JYMV:1:11101:18951:1550	NC_007307.6	100.000	77	0	0	1	77	51217442	51217366	9.84e-33	143
MN01020:33:000H3JYMV:1:11101:10102:1566	NC_007326.6	94.595	37	2	0	9	45	17812640	17812676	9.02e-07	58.4
MN01020:33:000H3JYMV:1:11101:19753:1569	NC_007331.5	100.000	103	0	0	1	103	19089618	19089516	5.27e-47	191
MN01020:33:000H3JYMV:1:11101:9730:1588	NC_007314.5	89.344	122	13	0	10	131	34404926	34404805	1.12e-35	154
MN01020:33:000H3JYMV:1:11101:13383:1630	NC_007305.6	76.351	148	28	5	2	146	48531923	48531780	3.09e-11	73.1
MN01020:33:000H3JYMV:1:11101:13600:1633	NC_007331.5	81.034	116	20	2	10	124	144104027	144103913	7.37e-17	91.6
MN01020:33:000H3JYMV:1:11101:8958:1695	NC_007331.5	98.246	57	1	0	1	57	8723416	8723472	3.72e-20	100
MN01020:33:000H3JYMV:1:11101:12540:1717	NC_007326.6	100.000	35	0	0	45	79	17812888	17812922	5.35e-09	65.8
MN01020:33:000H3JYMV:1:11101:5419:1718	NC_007331.5	100.000	89	0	0	1	89	19088917	19088829	2.60e-39	165
MN01020:33:000H3JYMV:1:11101:5974:1739	NC_007306.6	86.667	135	14	3	4	136	86837661	86837529	1.84e-33	147
MN01020:33:000H3JYMV:1:11101:16458:1748	NC_007330.6	81.731	104	14	5	36	136	24563670	24563771	5.31e-14	82.4
MN01020:33:000H3JYMV:1:11101:2151:1806	NC_007301.6	98.734	79	1	0	1	79	75987586	75987664	3.68e-32	141
MN01020:33:000H3JYMV:1:11101:8433:1841	NC_007304.6	86.577	149	20	0	1	149	107680656	107680804	5.12e-39	165
MN01020:33:000H3JYMV:1:11101:9393:1899	NC_007326.6	89.744	78	6	1	1	78	17812599	17812674	2.20e-19	99.0
MN01020:33:000H3JYMV:1:11101:5024:1934	NC_007314.5	97.674	43	1	0	1	43	62902927	62902885	3.79e-12	75.0
MN01020:33:000H3JYMV:1:11101:1102:1941	NC_007309.6	95.652	69	3	0	1	69	1975035	1974967	2.39e-23	111
MN01020:33:000H3JYMV:1:11101:6872:1954	NC_007331.5	81.944	72	13	0	13	84	124270741	124270812	3.40e-08	62.1
MN01020:33:000H3JYMV:1:11101:24495:2022	NC_007300.6	90.541	74	7	0	10	83	63510146	63510073	5.31e-19	99.0
MN01020:33:000H3JYMV:1:11101:1024:2118	NC_007331.5	88.571	70	8	0	5	74	100201480	100201411	5.42e-16	87.9
MN01020:33:000H3JYMV:1:11101:16200:2216	NC_007307.6	100.000	130	0	0	1	130	92948539	92948668	6.99e-62	241
MN01020:33:000H3JYMV:1:11101:4770:2280	NC_007326.6	97.727	44	1	0	11	54	17812582	17812539	6.28e-13	76.8
MN01020:33:000H3JYMV:1:11101:12399:2294	NC_007326.6	100.000	35	0	0	80	114	19888873	19888839	4.21e-09	65.8
MN01020:33:000H3JYMV:1:11101:4226:2337	NC_007312.6	90.299	134	11	2	1	133	65125426	65125294	7.33e-42	174
MN01020:33:000H3JYMV:1:11101:12227:2357	NC_007330.6	84.848	99	15	0	20	118	7831412	7831314	1.09e-19	100
